case,tissue,origin,Experiment,number_spots_under_tiisue,mean_reads_per _spot,number_reads,valid_barcodes,valid_UMIs,Sequencing_saturation,Mapping_confidently_to_genome,Mapped_to_exonic_regions,Reads_in_spots_under_tissue,Means_read_per_spot,means_reads_under_tissue_per_spot,median_genes_per_spot,total_genes_detected,Median_UMI_counts_per_spot
PDA_128033,Pa,R,1,1714,77973,133645162,96.2,99.9,89.5,81.7,75.9,62,77973,44895,844,18681,2460
PDA_134275,Pa,R,1,1692,87930,148777371,96.3,99.9,92.5,78.3,67.8,74.4,87930,60674,940,19534,2318
PDA_140694,Pa,P,1,2386,73392,175113954,96.8,99.9,91.2,85.3,81.2,95.2,73392,67383,2246,21596,4215
PDA_130355,Pa,R,1,858,121049,103860460,96.6,99.9,92,86.8,82.2,38.5,121049,44758,758,17959,1564
PDA_130355,Pa,R,2,1672,112564,188207808,97.2,99.9,91.1,86.6,82.3,87.6,112564,93696,2669,21910,5726
PDA_130355,Pa,P,2,1476,89606,132257829,97.1,99.9,89.9,90.1,85.9,80,89606,68535,2901,21484,5596
PDA_143033,Pa,P,2,1263,172052,217301586,97.1,99.8,97.8,52,40.7,62.3,172052,115152,485,17106,623
PDA_64630,Pa,P,2,1506,114873,172999000,97.4,99.9,94.6,80,75.3,77.2,114873,86686,14500,19701,2393
PDA_67113,Pa,P,3,1645,112462,185000075,97.2,99.9,98.6,83.6,78.2,78.5,112462,84144,538,16901,685
PDA_100070,Pa,P,3,2580,108135,278988672,96.7,99.9,99,75.5,70.6,76.2,108135,77138,253,16949,305
PDA_91610,Pa,P,3,2535,105367,267105752,96.4,99.8,98.4,85.6,80.9,85,105367,85739,552,18421,687
PDA_91412,Pa,P,3,1470,154718,227434816,95.9,99.9,99.3,71.3,66.6,78,154718,115740,236,15715,314
